cause,originalCause,status,item,profile,timeAfterActionMs,review,before,after,record,detailedTrace
SF1,SF1,confirmed,shell-route-terms-back,cold-1440,6807,SF1 font and SF2 sidebar buffered during back navigation; post-action reserved header/avatar and below-view height.,,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-route-terms-back/cold-1440/before.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-route-terms-back/cold-1440/record.json,/Users/albin/Code/jori/dist/layout-hunt/SHELL_CAUSES.json
SF1,SF1,confirmed,shell-route-terms-back,cold-375,6758,SF1 font buffered during back navigation; reserved header and below-view document height.,,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-route-terms-back/cold-375/before.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-route-terms-back/cold-375/record.json,/Users/albin/Code/jori/dist/layout-hunt/SHELL_CAUSES.json
SF1,SF1,confirmed,shell-route-trust-back,cold-1440,6753,SF1 font and SF2 sidebar buffered during back navigation; post-action reserved header/avatar and below-view height.,,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-route-trust-back/cold-1440/before.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-route-trust-back/cold-1440/record.json,/Users/albin/Code/jori/dist/layout-hunt/SHELL_CAUSES.json
SF1,SF1,confirmed,shell-route-trust-back,cold-375,6761,SF1 font buffered during back navigation; reserved header and below-view document height.,,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-route-trust-back/cold-375/before.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-route-trust-back/cold-375/record.json,/Users/albin/Code/jori/dist/layout-hunt/SHELL_CAUSES.json
SF1,SF1,confirmed,shell-async-font,cold-1440,6819,"SF1 cold font reflow and SF2 desktop initial sidebar growth reproduce; reserved header publication, below-fold document extent changes retained as sharing candidate.",/Users/albin/Code/jori/dist/layout-hunt/before/shell-resume/shell-async-font/cold-1440/250.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell-resume/shell-async-font/cold-1440/1000.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell-resume/shell-async-font/cold-1440/record.json,/Users/albin/Code/jori/dist/layout-hunt/SHELL_CAUSES.json
SF1,SF1,confirmed,shell-async-font,cold-375,6770,"SF1 cold font reflow and SF2 desktop initial sidebar growth reproduce; reserved header publication, below-fold document extent changes retained as sharing candidate.",/Users/albin/Code/jori/dist/layout-hunt/before/shell-resume/shell-async-font/cold-375/250.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell-resume/shell-async-font/cold-375/1000.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell-resume/shell-async-font/cold-375/record.json,/Users/albin/Code/jori/dist/layout-hunt/SHELL_CAUSES.json
SF1,SF1,confirmed,shell-async-hero-thread,cold-1440,6819,"SF1 cold font reflow, SF2 desktop initial sidebar growth. SF6 cold mobile hydration error and86 existing-node replacements. Hero animation source authored; thread is below viewport in this recipe so corrected V2 in-view drive remains queued.",/Users/albin/Code/jori/dist/layout-hunt/before/shell-resume/shell-async-hero-thread/cold-1440/250.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell-resume/shell-async-hero-thread/cold-1440/1000.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell-resume/shell-async-hero-thread/cold-1440/record.json,/Users/albin/Code/jori/dist/layout-hunt/SHELL_CAUSES.json
SF1,SF1,confirmed,shell-async-hero-thread,cold-375,6788,"SF1 cold font reflow, SF2 desktop initial sidebar growth. SF6 cold mobile hydration error and86 existing-node replacements. Hero animation source authored; thread is below viewport in this recipe so corrected V2 in-view drive remains queued.",/Users/albin/Code/jori/dist/layout-hunt/before/shell-resume/shell-async-hero-thread/cold-375/250.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell-resume/shell-async-hero-thread/cold-375/1000.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell-resume/shell-async-hero-thread/cold-375/record.json,/Users/albin/Code/jori/dist/layout-hunt/SHELL_CAUSES.json
SF1,SF1,confirmed,shell-waitlist-joined-reset,cold-1440,6890,"Invalid starting state: reload resets generic configuration failure, not Joined, due missing public waitlist URL. All PNGs reviewed; cold reload buffers SF1/font and SF2/sidebar before timed PNGs; requested new-document replacements, warm2px hash-scroll adjustment retained. All4 repeat after corrected config.",,/Users/albin/Code/jori/dist/layout-hunt/before/shell-resume/shell-waitlist-joined-reset/cold-1440/before.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell-resume/shell-waitlist-joined-reset/cold-1440/record.json,/Users/albin/Code/jori/dist/layout-hunt/SHELL_CAUSES.json
SF1,SF1,confirmed,shell-waitlist-joined-reset,cold-375,6788,"Invalid starting state: reload resets generic configuration failure, not Joined, due missing public waitlist URL. All PNGs reviewed; cold reload buffers SF1/font and SF2/sidebar before timed PNGs; requested new-document replacements, warm2px hash-scroll adjustment retained. All4 repeat after corrected config.",,/Users/albin/Code/jori/dist/layout-hunt/before/shell-resume/shell-waitlist-joined-reset/cold-375/before.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell-resume/shell-waitlist-joined-reset/cold-375/record.json,/Users/albin/Code/jori/dist/layout-hunt/SHELL_CAUSES.json
SF2,SF2,confirmed,shell-root-missing-home,cold-1440,6048,"SF1/SF2; pre-paint click-navigation probe artifact, guarded repeat queued",/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-root-missing-home/cold-1440/3000.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-root-missing-home/cold-1440/before.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-root-missing-home/cold-1440/record.json,/Users/albin/Code/jori/dist/layout-hunt/SHELL_CAUSES.json
SF2,SF2,confirmed,shell-root-missing-home,warm-1440,175,SF2; reserved header/avatar and below-viewport sharing height -2px,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-root-missing-home/warm-1440/0.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-root-missing-home/warm-1440/before.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-root-missing-home/warm-1440/record.json,/Users/albin/Code/jori/dist/layout-hunt/SHELL_CAUSES.json
SF2,SF2,confirmed,shell-route-home-enter,cold-1440,6087,"SF1 font, SF2 initial sidebar, reserved header/avatar, below-viewport document height",/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-route-home-enter/cold-1440/0.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-route-home-enter/cold-1440/250.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-route-home-enter/cold-1440/record.json,/Users/albin/Code/jori/dist/layout-hunt/SHELL_CAUSES.json
SF2,SF2,confirmed,shell-route-home-enter,warm-1440,136,"SF2 initial sidebar, reserved header/avatar, below-viewport document height",/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-route-home-enter/warm-1440/0.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-route-home-enter/warm-1440/250.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-route-home-enter/warm-1440/record.json,/Users/albin/Code/jori/dist/layout-hunt/SHELL_CAUSES.json
SF2,SF2,confirmed,shell-route-pricing-back,cold-1440,5909,SF1 font and SF2 sidebar buffered during back navigation; post-action reserved header/avatar and below-view height.,,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-route-pricing-back/cold-1440/before.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-route-pricing-back/cold-1440/record.json,/Users/albin/Code/jori/dist/layout-hunt/SHELL_CAUSES.json
SF2,SF2,confirmed,shell-route-pricing-back,warm-1440,133,SF2 initial sidebar; reserved header/avatar and below-view document height.,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-route-pricing-back/warm-1440/0.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-route-pricing-back/warm-1440/before.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-route-pricing-back/warm-1440/record.json,/Users/albin/Code/jori/dist/layout-hunt/SHELL_CAUSES.json
SF2,SF2,confirmed,shell-route-privacy-back,cold-1440,5924,SF1 font and SF2 sidebar buffered during back navigation; post-action reserved header/avatar and below-view height.,,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-route-privacy-back/cold-1440/before.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-route-privacy-back/cold-1440/record.json,/Users/albin/Code/jori/dist/layout-hunt/SHELL_CAUSES.json
SF2,SF2,confirmed,shell-route-privacy-back,warm-1440,135,SF2 initial sidebar; reserved header/avatar and below-view document height.,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-route-privacy-back/warm-1440/0.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-route-privacy-back/warm-1440/before.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-route-privacy-back/warm-1440/record.json,/Users/albin/Code/jori/dist/layout-hunt/SHELL_CAUSES.json
SF2,SF2,confirmed,shell-route-sign-in-back,cold-1440,5905,SF1 font and SF2 sidebar buffered during back navigation; post-action reserved header/avatar and below-view height.,,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-route-sign-in-back/cold-1440/before.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-route-sign-in-back/cold-1440/record.json,/Users/albin/Code/jori/dist/layout-hunt/SHELL_CAUSES.json
SF2,SF2,confirmed,shell-route-sign-in-back,warm-1440,124,SF2 initial sidebar; reserved header/avatar and below-view document height.,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-route-sign-in-back/warm-1440/0.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-route-sign-in-back/warm-1440/before.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-route-sign-in-back/warm-1440/record.json,/Users/albin/Code/jori/dist/layout-hunt/SHELL_CAUSES.json
SF2,SF2,confirmed,shell-route-terms-back,cold-1440,5926,SF1 font and SF2 sidebar buffered during back navigation; post-action reserved header/avatar and below-view height.,,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-route-terms-back/cold-1440/before.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-route-terms-back/cold-1440/record.json,/Users/albin/Code/jori/dist/layout-hunt/SHELL_CAUSES.json
SF2,SF2,confirmed,shell-route-terms-back,warm-1440,121,SF2 initial sidebar; reserved header/avatar and below-view document height.,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-route-terms-back/warm-1440/0.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-route-terms-back/warm-1440/before.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-route-terms-back/warm-1440/record.json,/Users/albin/Code/jori/dist/layout-hunt/SHELL_CAUSES.json
SF2,SF2,confirmed,shell-route-trust-back,cold-1440,5903,SF1 font and SF2 sidebar buffered during back navigation; post-action reserved header/avatar and below-view height.,,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-route-trust-back/cold-1440/before.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-route-trust-back/cold-1440/record.json,/Users/albin/Code/jori/dist/layout-hunt/SHELL_CAUSES.json
SF2,SF2,confirmed,shell-route-trust-back,warm-1440,136,SF2 initial sidebar; reserved header/avatar and below-view document height.,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-route-trust-back/warm-1440/0.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-route-trust-back/warm-1440/before.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-route-trust-back/warm-1440/record.json,/Users/albin/Code/jori/dist/layout-hunt/SHELL_CAUSES.json
SF2,SF2,confirmed,shell-async-font,cold-1440,6119,"SF1 cold font reflow and SF2 desktop initial sidebar growth reproduce; reserved header publication, below-fold document extent changes retained as sharing candidate.",,/Users/albin/Code/jori/dist/layout-hunt/before/shell-resume/shell-async-font/cold-1440/0.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell-resume/shell-async-font/cold-1440/record.json,/Users/albin/Code/jori/dist/layout-hunt/SHELL_CAUSES.json
SF2,SF2,confirmed,shell-async-font,warm-1440,151,"SF1 cold font reflow and SF2 desktop initial sidebar growth reproduce; reserved header publication, below-fold document extent changes retained as sharing candidate.",,/Users/albin/Code/jori/dist/layout-hunt/before/shell-resume/shell-async-font/warm-1440/0.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell-resume/shell-async-font/warm-1440/record.json,/Users/albin/Code/jori/dist/layout-hunt/SHELL_CAUSES.json
SF2,SF2,confirmed,shell-async-hero-thread,cold-1440,6285,"SF1 cold font reflow, SF2 desktop initial sidebar growth. SF6 cold mobile hydration error and86 existing-node replacements. Hero animation source authored; thread is below viewport in this recipe so corrected V2 in-view drive remains queued.",/Users/albin/Code/jori/dist/layout-hunt/before/shell-resume/shell-async-hero-thread/cold-1440/0.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell-resume/shell-async-hero-thread/cold-1440/250.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell-resume/shell-async-hero-thread/cold-1440/record.json,/Users/albin/Code/jori/dist/layout-hunt/SHELL_CAUSES.json
SF2,SF2,confirmed,shell-async-hero-thread,warm-1440,169,"SF1 cold font reflow, SF2 desktop initial sidebar growth. SF6 cold mobile hydration error and86 existing-node replacements. Hero animation source authored; thread is below viewport in this recipe so corrected V2 in-view drive remains queued.",/Users/albin/Code/jori/dist/layout-hunt/before/shell-resume/shell-async-hero-thread/warm-1440/0.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell-resume/shell-async-hero-thread/warm-1440/250.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell-resume/shell-async-hero-thread/warm-1440/record.json,/Users/albin/Code/jori/dist/layout-hunt/SHELL_CAUSES.json
SF2,SF2,confirmed,shell-waitlist-joined-reset,cold-1440,5918,"Invalid starting state: reload resets generic configuration failure, not Joined, due missing public waitlist URL. All PNGs reviewed; cold reload buffers SF1/font and SF2/sidebar before timed PNGs; requested new-document replacements, warm2px hash-scroll adjustment retained. All4 repeat after corrected config.",,/Users/albin/Code/jori/dist/layout-hunt/before/shell-resume/shell-waitlist-joined-reset/cold-1440/before.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell-resume/shell-waitlist-joined-reset/cold-1440/record.json,/Users/albin/Code/jori/dist/layout-hunt/SHELL_CAUSES.json
SF3,SF3,confirmed,shell-protected-01-back,cold-1440,14329,SF3 Recent recentering; SF4 model readiness; SF7 sidebar data insertion on desktop. Auth overlay appears for full-document back navigation.,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-protected-01-back/cold-1440/3000.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-protected-01-back/cold-1440/before.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-protected-01-back/cold-1440/record.json,/Users/albin/Code/jori/dist/layout-hunt/SHELL_CAUSES.json
SF3,SF3,confirmed,shell-protected-01-back,cold-375,13784,SF3 Recent recentering; SF4 model readiness; SF7 sidebar data insertion on desktop. Auth overlay appears for full-document back navigation.,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-protected-01-back/cold-375/3000.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-protected-01-back/cold-375/before.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-protected-01-back/cold-375/record.json,/Users/albin/Code/jori/dist/layout-hunt/SHELL_CAUSES.json
SF3,SF3,confirmed,shell-protected-01-back,warm-1440,2018,SF3 Recent recentering; SF4 model readiness; SF7 sidebar data insertion on desktop. Auth overlay appears for full-document back navigation.,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-protected-01-back/warm-1440/1000.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-protected-01-back/warm-1440/before.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-protected-01-back/warm-1440/record.json,/Users/albin/Code/jori/dist/layout-hunt/SHELL_CAUSES.json
SF3,SF3,confirmed,shell-protected-01-back,warm-375,1385,SF3 Recent recentering; SF4 model readiness; SF7 sidebar data insertion on desktop. Auth overlay appears for full-document back navigation.,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-protected-01-back/warm-375/1000.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-protected-01-back/warm-375/before.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-protected-01-back/warm-375/record.json,/Users/albin/Code/jori/dist/layout-hunt/SHELL_CAUSES.json
SF3,SF3,confirmed,shell-protected-02-enter,cold-1440,14426,SF3 Recent recentering; SF4 model readiness; SF7 sidebar data insertion on desktop. Auth overlay appears for full-document back navigation.,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-protected-02-enter/cold-1440/3000.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-protected-02-enter/cold-1440/settled.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-protected-02-enter/cold-1440/record.json,/Users/albin/Code/jori/dist/layout-hunt/SHELL_CAUSES.json
SF3,SF3,confirmed,shell-protected-02-enter,cold-375,14238,SF3 Recent recentering; SF4 model readiness; SF7 sidebar data insertion on desktop. Auth overlay appears for full-document back navigation.,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-protected-02-enter/cold-375/3000.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-protected-02-enter/cold-375/settled.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-protected-02-enter/cold-375/record.json,/Users/albin/Code/jori/dist/layout-hunt/SHELL_CAUSES.json
SF3,SF3,confirmed,shell-protected-02-enter,warm-1440,3202,SF3 Recent recentering; SF4 model readiness; SF7 sidebar data insertion on desktop. Auth overlay appears for full-document back navigation.,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-protected-02-enter/warm-1440/3000.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-protected-02-enter/warm-1440/settled.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-protected-02-enter/warm-1440/record.json,/Users/albin/Code/jori/dist/layout-hunt/SHELL_CAUSES.json
SF3,SF3,confirmed,shell-protected-02-enter,warm-375,1553,SF3 Recent recentering; SF4 model readiness; SF7 sidebar data insertion on desktop. Auth overlay appears for full-document back navigation.,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-protected-02-enter/warm-375/1000.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-protected-02-enter/warm-375/3000.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-protected-02-enter/warm-375/record.json,/Users/albin/Code/jori/dist/layout-hunt/SHELL_CAUSES.json
SF3,SF3,confirmed,shell-protected-03-back,cold-1440,14001,SF3/SF4/SF7 two-chat data,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-protected-03-back/cold-1440/3000.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-protected-03-back/cold-1440/before.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-protected-03-back/cold-1440/record.json,/Users/albin/Code/jori/dist/layout-hunt/SHELL_CAUSES.json
SF3,SF3,confirmed,shell-protected-03-back,cold-375,13702,SF3/SF4 two-chat data,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-protected-03-back/cold-375/3000.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-protected-03-back/cold-375/before.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-protected-03-back/cold-375/record.json,/Users/albin/Code/jori/dist/layout-hunt/SHELL_CAUSES.json
SF3,SF3,confirmed,shell-protected-03-back,warm-1440,1754,SF3/SF4/SF7 two-chat data,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-protected-03-back/warm-1440/1000.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-protected-03-back/warm-1440/before.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-protected-03-back/warm-1440/record.json,/Users/albin/Code/jori/dist/layout-hunt/SHELL_CAUSES.json
SF3,SF3,confirmed,shell-protected-03-back,warm-375,1435,SF3/SF4 two-chat data,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-protected-03-back/warm-375/1000.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-protected-03-back/warm-375/before.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-protected-03-back/warm-375/record.json,/Users/albin/Code/jori/dist/layout-hunt/SHELL_CAUSES.json
SF3,SF3,confirmed,shell-protected-04-back,cold-1440,14102,SF3/SF4/SF7,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-protected-04-back/cold-1440/3000.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-protected-04-back/cold-1440/before.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-protected-04-back/cold-1440/record.json,/Users/albin/Code/jori/dist/layout-hunt/SHELL_CAUSES.json
SF3,SF3,confirmed,shell-protected-04-back,cold-375,14153,SF3/SF4,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-protected-04-back/cold-375/3000.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-protected-04-back/cold-375/before.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-protected-04-back/cold-375/record.json,/Users/albin/Code/jori/dist/layout-hunt/SHELL_CAUSES.json
SF3,SF3,confirmed,shell-protected-04-back,warm-1440,1618,SF3/SF4/SF7,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-protected-04-back/warm-1440/1000.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-protected-04-back/warm-1440/before.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-protected-04-back/warm-1440/record.json,/Users/albin/Code/jori/dist/layout-hunt/SHELL_CAUSES.json
SF3,SF3,confirmed,shell-protected-04-back,warm-375,1502,SF3/SF4,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-protected-04-back/warm-375/1000.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-protected-04-back/warm-375/before.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-protected-04-back/warm-375/record.json,/Users/albin/Code/jori/dist/layout-hunt/SHELL_CAUSES.json
SF3,SF3,confirmed,shell-protected-05-back,cold-1440,14150,SF3/SF4/SF7; occlusion follow-up pending,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-protected-05-back/cold-1440/3000.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-protected-05-back/cold-1440/before.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-protected-05-back/cold-1440/record.json,/Users/albin/Code/jori/dist/layout-hunt/SHELL_CAUSES.json
SF3,SF3,confirmed,shell-protected-05-back,cold-375,13856,SF3/SF4; occlusion follow-up pending,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-protected-05-back/cold-375/3000.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-protected-05-back/cold-375/before.png,/Users/albin/Code/jori/dist/layout-hunt/before/shell/shell-protected-05-back/cold-375/record.json,/Users/albin/Code/jori/dist/layout-hunt/SHELL_CAUSES.json
